News Heading,News Description,Date,Source,sentiment,Sentiment Class
Cholera vaccine supplies are insufficient to counter new surge,"The spread of the disease, transmitted by dirty water and poor sanitation in areas stricken by conflict and poverty, is also partly fuelled by climate change.","Published on December 24, 2022 at 17h00, updated at 17h00 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/environment/article/2022/12/24/cholera-vaccine-supplies-are-insufficient-to-counter-new-surge_6008985_114.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Cholera vaccine supplies are insufficient to counter new surge</h3> <p class=""teaser__desc"">The spread of the disease, transmitted by dirty water and poor sanitation in areas stricken by conflict and poverty, is also partly fuelled by climate change.</p> </a>",0.13636363636363635,positive
Afghanistan: Taliban ban women from working for NGOs,The ban applies to domestic and foreign entities. It comes days after the Taliban banned women from attending university.,"Published on December 24, 2022 at 16h11, updated at 16h11 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/taliban-ban-women-from-working-for-ngos_6008982_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Afghanistan: Taliban ban women from working for NGOs</h3> <p class=""teaser__desc"">The ban applies to domestic and foreign entities. It comes days after the Taliban banned women from attending university.</p> </a>",0.0,neutral
Arctic cold prevents Americans from celebrating first normal Christmas since pandemic,"The cold wave and snow blizzards across the country caused the cancellation of more than 8,000 flights and left more than a million people without power, from the Canadian border to Texas. At least nine people have died in road accidents.","Published on December 24, 2022 at 14h35, updated at 14h35 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/environment/article/2022/12/24/arctic-cold-prevents-americans-from-celebrating-first-normal-christmas-since-pandemic_6008974_114.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Arctic cold prevents Americans from celebrating first normal Christmas since pandemic</h3> <p class=""teaser__desc"">The cold wave and snow blizzards across the country caused the cancellation of more than 8,000 flights and left more than a million people without power, from the Canadian border to Texas. At least nine people have died in road accidents.</p> </a>",-0.06666666666666667,negative
Taliban use water cannon on women protesting university ban,"On Tuesday, Afghanistan's rulers banned women from attending univesity.","Published on December 24, 2022 at 14h21, updated at 15h29 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/taliban-use-water-cannon-on-women-protesting-university-ban_6008972_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Taliban use water cannon on women protesting university ban</h3> <p class=""teaser__desc"">On Tuesday, Afghanistan's rulers banned women from attending univesity.</p> </a>",0.0,neutral
How Santa Claus became Finnish,"It was a visit in 1950 by former US first lady Eleanor Roosevelt to Rovaniemi, in Finnish Lapland, that sealed Santa Claus' official place of residence.","Published on December 24, 2022 at 12h00","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/culture/article/2022/12/24/how-santa-claus-became-finnish_6008949_30.html""> <span class=""teaser__kicker teaser__kicker--premium"">Letter from...</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">How Santa Claus became Finnish</h3> <p class=""teaser__desc"">It was a visit in 1950 by former US first lady Eleanor Roosevelt to Rovaniemi, in Finnish Lapland, that sealed Santa Claus' official place of residence.</p> </a>",0.0,neutral
"War in Ukraine: Kherson shelled, Zelensky blasts Russian 'terror'",At least five people were killed and 20 injured in the strikes on Saturday.,"Published on December 24, 2022 at 11h59","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/war-in-ukraine-kherson-shelled-zelensky-blasts-russian-terror_6008947_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">War in Ukraine: Kherson shelled, Zelensky blasts Russian 'terror'</h3> <p class=""teaser__desc"">At least five people were killed and 20 injured in the strikes on Saturday.</p> </a>",0.0,neutral
Israel's Supreme Court under attack from new coalition,The right-wing majority wants to break the judges' judicial supervision over its laws. Critics fear 'a regime change'.,"Published on December 24, 2022 at 09h00","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/israel-s-supreme-court-under-attack-from-new-coalition_6008931_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">Feature</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Israel's Supreme Court under attack from new coalition</h3> <p class=""teaser__desc"">The right-wing majority wants to break the judges' judicial supervision over its laws. Critics fear 'a regime change'.</p> </a>",0.13636363636363635,positive
'Energy security in central and eastern Europe is crucial for our economic future',"Given the disruptions to Russian gas supplies, Germany and its eastern neighbors must rethink the routes of their energy supplies, in cooperation with the European Union, writes researcher Guntram Wolff.","Published on December 24, 2022 at 07h00, updated at 07h00 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/opinion/article/2022/12/24/energy-security-in-central-and-eastern-europe-is-crucial-for-our-economic-future_6008926_23.html""> <span class=""teaser__kicker"">Op-Ed</span> <h3 class=""teaser__title"">'Energy security in central and eastern Europe is crucial for our economic future'</h3> <p class=""teaser__desc"">Given the disruptions to Russian gas supplies, Germany and its eastern neighbors must rethink the routes of their energy supplies, in cooperation with the European Union, writes researcher Guntram Wolff.</p> </a>",0.05,positive
The geopolitics of Santa Claus,"From Saint Nicholas to Sinterklaas, the Crusades to Coca-Cola – the pathway of a myth and a thousand-year battle over its origins.","Published on December 24, 2022 at 05h04, updated at 05h37 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/the-geopolitics-of-santa-claus_6008921_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">The geopolitics of Santa Claus</h3> <p class=""teaser__desc"">From Saint Nicholas to Sinterklaas, the Crusades to Coca-Cola – the pathway of a myth and a thousand-year battle over its origins.</p> </a>",0.0,neutral
Hungary: Viktor Orban doubles-down on anti-European rhetoric,"Isolated within the EU, notably for his closeness to Putin, the Hungarian prime minister denounced Europe's discrimination against his country.","Published on December 24, 2022 at 05h02, updated at 08h28 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/hungary-viktor-orban-continues-his-anti-european-rhetoric_6008919_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Hungary: Viktor Orban doubles-down on anti-European rhetoric</h3> <p class=""teaser__desc"">Isolated within the EU, notably for his closeness to Putin, the Hungarian prime minister denounced Europe's discrimination against his country.</p> </a>",0.0,neutral
